(11,11) (12,8) (12,8) (12,8) (12,8) (12,8) (12,8) (12,8) (12,8) (12,8) (12,8) (12,8) (12,8) (12,8) (12,8) (12,8) (12,8)(12,8) (12,8) (12,8) (12,8)(12,8) (12,8) (12,8) (12,8) (12,8) (12,8) (19,7) (21,9) (21,10) (21,10) (21,10) (21,10)(21,10) (21,10) (21,10)
(11,11) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (20,7) (21,9) (21,10) (0,0) (0,0) (21,10) (21,10) (21,10) (21,10)
(11,11) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (21,8) (22,10) (3,9) (3,10) (22,10) (22,10) (22,10) (22,10)
(11,11) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3)
(11,11) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3)
(11,11) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3)
(11,11) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3)
(11,11) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3)
(11,11) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3)
(11,11) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3)
(11,11) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,10) (0,11) (9,8) (9,9) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3) (0,3)
